category,title,description,image,price,part_number,url
Vertex Networking,PS6500E Dell EqualLogic Ps6500e Configure-to-Order Virtualized iSCSI Storage Area Network System,Product Condition: Refurbished,https://www.vertexnetworking.co.uk/storage/product_images/677915d13f3bc_storagearray.webp,$471.38,PS6500E,https://www.vertexnetworking.co.uk/product/ps6500e-dell-equallogic-ps6500e-configure-to-order-virtualized-iscsi-storage-area-network-system.html
Vertex Networking,06WHM8 Dell PowerEdge FD332 2.5 Inch SAS/SATA Bay Storage Array Node For FX2/FX2S,06WHM8 Dell PowerEdge FD332 2.5 Inch SAS/SATA Bay Storage Array Node For FX2/FX2S Product Condition: Refurbished,https://www.vertexnetworking.co.uk/storage/product_images/677915d150752_storagearray.webp,$592.66,06WHM8,https://www.vertexnetworking.co.uk/product/dell-06whm8-poweredge-fd332-2-5-inch-sas-sata-bay-storage-array-node-for-fx2-fx2s.html
Vertex Networking,NetApp DS224C 2u 24x 2.4 12GBps Expansion Shelf,NetApp DS224C 2u 24x 2.4 12GBps Expansion Shelf Product Condition: Refurbished,https://www.vertexnetworking.co.uk/storage/product_images/677915d0bd4c6_storagearray.webp,"$3,359.23",DS224C,https://www.vertexnetworking.co.uk/product/ds224c-netapp-2u-24x-2-4-12gbps-expansion-shelf.html
Vertex Networking,BV409A - HP Adaptec 5805ZQ SAS SATA PCI Express x8 512MB MaxCache Array Controller,BV409A - HP Adaptec 5805ZQ SAS SATA PCI Express x8 512MB MaxCache Array Controller Product Condition: New General Information Product Type SATA/SAS Controller Technical Information Form Factor Plug-in Card Raid Supported Yes Cache Memory 2 GB Miscellaneous Compliance Standards WEEE Assembly Required Yes Eco Friendly Yes OS Platform PC,https://www.vertexnetworking.co.uk/storage/product_images/677915d25e979_Microcontroller-Gen.webp,$308.59,BV409A,https://www.vertexnetworking.co.uk/product/bv409a-hp-sas-sata-controller.html
Vertex Networking,IBM 2078-12E Storwize V5000 SAN Array 12 x HDD Supported,IBM 2078-12E Storwize V5000 SAN Array 12 x HDD Supported Product Condition: Refurbished,https://www.vertexnetworking.co.uk/storage/product_images/677915d12d158_storagearray.webp,$415.70,2078-12E,https://www.vertexnetworking.co.uk/product/2078-12e-ibm-storwize-v5000-san-array-12-x-hdd-supported.html
Vertex Networking,CX4-120 EMC Clariion CX4 SAN Storage System,Product Condition: Refurbished,https://www.vertexnetworking.co.uk/storage/product_images/677915d18c7a8_storagearray.webp,$471.38,CX4-120,https://www.vertexnetworking.co.uk/product/cx4-120-emc-clariion-cx4-san-storage-system.html
Vertex Networking,HP - AJ795A - G2 StorageWorks 2-Ports SATA 3Gb/s SAS Fibre Channel 4Gb/s Disk Array Controller,HP - AJ795A - G2 StorageWorks 2-Ports SATA 3Gb/s SAS Fibre Channel 4Gb/s Disk Array Controller Product Condition: Refurbished,https://www.vertexnetworking.co.uk/storage/product_images/677915d1bcbab_Network-Storage-Array-Gen.webp,"$1,223.55",AJ795A,https://www.vertexnetworking.co.uk/product/aj795a-hp-storageworks-modular-smart-array-2312fc-g2-dual-raid-controller-12-bay-hard-drive-array.html
Vertex Networking,PS6100 Dell EqualLogic PS6100 Configure-to-Order SAN Storage Array,Product Condition: Refurbished,https://www.vertexnetworking.co.uk/storage/product_images/677915d0e130a_storagearray.webp,$137.27,PS6100,https://www.vertexnetworking.co.uk/product/ps6100-dell-equallogic-ps6100-configure-to-order-san-storage-array.html
Vertex Networking,IBM 207812E Storwize V5000 SAN Array 12 x HDD Supported,IBM 207812E Storwize V5000 SAN Array 12 x HDD Supported Product Condition: Refurbished,https://www.vertexnetworking.co.uk/storage/product_images/677915d0f39bf_storagearray.webp,$415.70,207812E,https://www.vertexnetworking.co.uk/product/207812e-ibm-storwize-v5000-san-array-12-x-hdd-supported.html
Vertex Networking,PS5000XV Dell EqualLogic PS5000XV Configure-to-Order iSCSI SAN Storage Array,Product Condition: Refurbished,https://www.vertexnetworking.co.uk/storage/product_images/677915d0aacba_storagearray.webp,$248.64,PS5000XV,https://www.vertexnetworking.co.uk/product/ps5000xv-dell-equallogic-ps5000xv-configure-to-order-iscsi-san-storage-array.html
